mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__tol,param_classifier__solver,param_classifier__shrinkage,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_bal_acc,split1_test_bal_acc,split2_test_bal_acc,mean_test_bal_acc,std_test_bal_acc,rank_test_bal_acc,split0_train_bal_acc,split1_train_bal_acc,split2_train_bal_acc,mean_train_bal_acc,std_train_bal_acc,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
23.134371519088745,1.231981179593173,0.10880152384440105,0.017357719454798925,0.0001,lsqr,0.1,"{'classifier__tol': 0.0001, 'classifier__solver': 'lsqr', 'classifier__shrinkage': 0.1}",0.32593276931157006,0.3192791371526999,0.320641127554229,0.32195101133949966,0.0028699073010086344,7,0.32632497174612746,0.3220803329747978,0.326098951511707,0.3248347520775441,0.001949852940056766,0.6400366785225865,0.6265957285613242,0.6391659657174483,0.6352661242671197,0.006141191875011755,7,0.6494267682516941,0.6332137158175366,0.6581522004156166,0.6469308948282825,0.010332926065784011,0.5122990326090836,0.5019921336361457,0.5021040022407366,0.5054650561619886,0.00483256689595084,7,0.509835154791907,0.5011889027350942,0.507561005673722,0.5061950210669077,0.003659585961738021
25.5380601088206,0.21136943247190323,0.04552483558654785,0.007158791503471369,0.0001,lsqr,auto,"{'classifier__tol': 0.0001, 'classifier__solver': 'lsqr', 'classifier__shrinkage': 'auto'}",0.34298569097920234,0.3361133726610899,0.33524939783582786,0.33811615382537336,0.0034613010264987728,3,0.346347968050927,0.340584866691262,0.3438140879271338,0.343582307556441,0.0023584777471386182,0.6531251927339298,0.64671574879713,0.6558754808766339,0.6519054741358979,0.00383761714573527,1,0.6728373139112243,0.6633410925464739,0.6853076165899135,0.6738286743492038,0.00899515207491404,0.550020613367607,0.5332975396652163,0.5278011125182521,0.5370397551836917,0.009449151187228744,3,0.5492390789034058,0.5339853539328341,0.532996067012148,0.5387401666161292,0.007434829814900718
24.794592062632244,0.7424373157529446,0.07000009218851726,0.016681041873644626,0.001,eigen,0.5,"{'classifier__tol': 0.001, 'classifier__solver': 'eigen', 'classifier__shrinkage': 0.5}",0.3073859582568019,0.299304386516966,0.30203242539880304,0.30290759005752366,0.0033568224390966173,9,0.3034019153257702,0.3027964240401003,0.30524598100015615,0.30381477345534225,0.00104176811287502,0.6027110938309652,0.5858686094599799,0.5952658804188233,0.5946151945699228,0.00689129228336703,9,0.5987470312582588,0.5922354580301636,0.6011777141459633,0.5973867344781286,0.003775252009924959,0.5025088014711394,0.4874675001419542,0.49325448216760104,0.4944102612602315,0.006194731923285483,9,0.496235861420022,0.4872132684360487,0.4995413001476063,0.494330143334559,0.0052101767427627085
25.051384846369427,0.360080254955285,0.07061990102132161,0.012848731602440086,0.0001,eigen,0.65,"{'classifier__tol': 0.0001, 'classifier__solver': 'eigen', 'classifier__shrinkage': 0.65}",0.2947633415176864,0.2869794375458933,0.2912988955290812,0.2910138915308869,0.003184149359956202,10,0.29181726666358426,0.2907807893011832,0.29323136157140245,0.2919431391787233,0.0010043933593443302,0.5837410088950169,0.5721496990491117,0.5781125155071222,0.5780010744837503,0.004732788488281314,10,0.5828998454817713,0.5798476378948937,0.5824577674039486,0.5817350835935379,0.0013467731077704919,0.4902281555879142,0.4690038170539667,0.4814459920920237,0.4802259882446349,0.008707638163958312,10,0.4861700974431768,0.4706643462681211,0.48576184579082654,0.4808654298340415,0.007215180607214203
24.14804220199585,0.6045662750027371,0.10748847325642903,0.02793947199069328,0.001,lsqr,0.0,"{'classifier__tol': 0.001, 'classifier__solver': 'lsqr', 'classifier__shrinkage': 0.0}",0.3433048890492464,0.33650284519136564,0.3353090800215918,0.3383722714207346,0.003521770986494351,1,0.34685004482763143,0.3411299797759978,0.3444076494647418,0.34412922468945695,0.002343491172780391,0.6533892989459762,0.6465472585687029,0.653661451523881,0.6511993363461867,0.0032913915488978324,4,0.671760538067721,0.6621284562607498,0.6860511076170348,0.6733133673151684,0.009827911646000479,0.5527102043962452,0.5354806007426476,0.5291704386459584,0.5391204145949504,0.009948746204226125,1,0.5522548254521045,0.537067113944691,0.5343357113481586,0.5412192169149846,0.007882623585012766
26.109541257222492,0.13762035796417785,0.04606111844380697,0.015300929728998965,0.001,lsqr,auto,"{'classifier__tol': 0.001, 'classifier__solver': 'lsqr', 'classifier__shrinkage': 'auto'}",0.34298569097920234,0.3361133726610899,0.33524939783582786,0.33811615382537336,0.0034613010264987728,3,0.346347968050927,0.340584866691262,0.3438140879271338,0.343582307556441,0.0023584777471386182,0.6531251927339298,0.64671574879713,0.6558754808766339,0.6519054741358979,0.00383761714573527,1,0.6728373139112243,0.6633410925464739,0.6853076165899135,0.6738286743492038,0.00899515207491404,0.550020613367607,0.5332975396652163,0.5278011125182521,0.5370397551836917,0.009449151187228744,3,0.5492390789034058,0.5339853539328341,0.532996067012148,0.5387401666161292,0.007434829814900718
23.474998156229656,0.3677619396276184,0.1517320473988851,0.0516225613004688,0.01,lsqr,0.05,"{'classifier__tol': 0.01, 'classifier__solver': 'lsqr', 'classifier__shrinkage': 0.05}",0.33132595006332255,0.32388954317893387,0.3257344599906336,0.3269833177442967,0.003161726438114585,6,0.3316605535115539,0.3277712847525632,0.3307856617813989,0.330072500015172,0.001665943706236037,0.6467699702092087,0.6360998612307247,0.6485165400204626,0.6437954571534653,0.0054881249974207775,6,0.6580615894440087,0.6453507491855837,0.666479978000355,0.6566307722099824,0.00868510241907104,0.5213767887371031,0.5071312092210997,0.5065689272978825,0.5116923084186951,0.006851808010470358,6,0.5180339108919281,0.5078298014741862,0.512190213153781,0.5126846418399651,0.004180455082611886
23.560455083847046,0.6083191836399626,0.16736872990926108,0.05224603186065276,0.0001,lsqr,0.0,"{'classifier__tol': 0.0001, 'classifier__solver': 'lsqr', 'classifier__shrinkage': 0.0}",0.3433048890492464,0.33650284519136564,0.3353090800215918,0.3383722714207346,0.003521770986494351,1,0.34685004482763143,0.3411299797759978,0.3444076494647418,0.34412922468945695,0.002343491172780391,0.6533892989459762,0.6465472585687029,0.653661451523881,0.6511993363461867,0.0032913915488978324,4,0.671760538067721,0.6621284562607498,0.6860511076170348,0.6733133673151684,0.009827911646000479,0.5527102043962452,0.5354806007426476,0.5291704386459584,0.5391204145949504,0.009948746204226125,1,0.5522548254521045,0.537067113944691,0.5343357113481586,0.5412192169149846,0.007882623585012766
12.65845243136088,0.5666384472319568,0.03900432586669922,0.007721525888524583,0.0001,eigen,auto,"{'classifier__tol': 0.0001, 'classifier__solver': 'eigen', 'classifier__shrinkage': 'auto'}",0.34298569097920234,0.3361133726610899,0.33524939783582786,0.33811615382537336,0.0034613010264987728,3,0.346347968050927,0.340584866691262,0.3438140879271338,0.343582307556441,0.0023584777471386182,0.6531251927339298,0.64671574879713,0.6558754808766339,0.6519054741358979,0.00383761714573527,1,0.6728373139112243,0.6633410925464739,0.6853076165899135,0.6738286743492038,0.00899515207491404,0.550020613367607,0.5332975396652163,0.5278011125182521,0.5370397551836917,0.009449151187228744,3,0.5492390789034058,0.5339853539328341,0.532996067012148,0.5387401666161292,0.007434829814900718
10.203074216842651,0.10289631369352976,0.0440672238667806,0.0009096158081011148,0.001,eigen,0.1,"{'classifier__tol': 0.001, 'classifier__solver': 'eigen', 'classifier__shrinkage': 0.1}",0.32593276931157006,0.3192791371526999,0.320641127554229,0.32195101133949966,0.0028699073010086344,7,0.32632497174612746,0.3220803329747978,0.326098951511707,0.3248347520775441,0.001949852940056766,0.6400366785225865,0.6265957285613242,0.6391659657174483,0.6352661242671197,0.006141191875011755,7,0.6494267682516941,0.6332137158175366,0.6581522004156166,0.6469308948282825,0.010332926065784011,0.5122990326090836,0.5019921336361457,0.5021040022407366,0.5054650561619886,0.00483256689595084,7,0.509835154791907,0.5011889027350942,0.507561005673722,0.5061950210669077,0.003659585961738021
