mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,param_classifier__criterion,param_classifier__class_weight,param_classifier__bootstrap,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_bal_acc,split1_test_bal_acc,split2_test_bal_acc,split3_test_bal_acc,split4_test_bal_acc,mean_test_bal_acc,std_test_bal_acc,rank_test_bal_acc,split0_train_bal_acc,split1_train_bal_acc,split2_train_bal_acc,split3_train_bal_acc,split4_train_bal_acc,mean_train_bal_acc,std_train_bal_acc,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
1965.9243882656097,42.54799394453075,2.6015860080718993,1.06564090043787,200,10,1,log2,10,gini,,True,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'log2', 'classifier__max_depth': 10, 'classifier__criterion': 'gini', 'classifier__class_weight': None, 'classifier__bootstrap': True}",0.7305272922257073,0.7377679855674224,0.7291829302851565,0.7342749542825626,0.7325640643006259,0.732863445332295,0.0030046731531540925,6,0.7636218213015298,0.7667045774252996,0.7603042735968856,0.7646469550698328,0.7692535934501661,0.7649062441687429,0.0030009516610303155,0.8926399785719343,0.8972011478887953,0.9017479798849951,0.8899301569873206,0.8861206305354452,0.893527978773698,0.005471055903670547,8,0.9446795744742124,0.9447103587119019,0.9442539605256408,0.9454094336559716,0.94518843732883,0.9448483529393112,0.0004077498942025243,0.9331807638167353,0.9364166335529942,0.93122803427768,0.9350486853967196,0.9340173698943331,0.9339782973876923,0.0017488709144337603,6,0.9435806360427103,0.9451567842451011,0.9427577578511193,0.9438625270837252,0.9461801328688446,0.9443075676183001,0.0012129361404653958
2084.0045544147492,36.71135930873986,1.7173058986663818,0.7367655023544641,100,10,1,sqrt,15,gini,balanced,True,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 15, 'classifier__criterion': 'gini', 'classifier__class_weight': 'balanced', 'classifier__bootstrap': True}",0.8332570219816254,0.8397762261885958,0.8398975795577643,0.8401455040105379,0.8389972310145115,0.838414712550607,0.002607272628294405,3,0.896897609208137,0.9015185451381521,0.8965569936548461,0.8984775648236315,0.90309742335988,0.8993096272369293,0.0025812349072270434,0.897736247586046,0.9127810552995668,0.9229003640816232,0.9007668905573908,0.8962056732201173,0.9060780461489488,0.010229158680252818,1,0.9922254672380479,0.9925836458613603,0.9912083407857049,0.9916536440488857,0.9915319429956521,0.9918406081859302,0.0004960268804658589,0.9681397111640545,0.968836602590246,0.9685397287269839,0.9694942488221744,0.967701338048467,0.9685423258703851,0.0006102658367494135,3,0.9829369956258804,0.9833511977120926,0.9822013921935681,0.9821892816578826,0.983353400779639,0.9828064535938126,0.0005215245147039422
4712.533240556717,25.328650642094434,0.4682455062866211,0.13511103286734094,100,20,8,,10,entropy,,True,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 8, 'classifier__max_features': None, 'classifier__max_depth': 10, 'classifier__criterion': 'entropy', 'classifier__class_weight': None, 'classifier__bootstrap': True}",0.6640448018142047,0.7033671715434288,0.6720495649723457,0.714893645559375,0.7117567436400184,0.6932223855058744,0.021050901866325456,9,0.695333174978536,0.7403855201533437,0.7052766772074474,0.7541314648073032,0.7543647193141964,0.7298983112921654,0.024886968131406624,0.8755508981048388,0.88692823292855,0.8935016651139271,0.8837320776256167,0.8752321900291629,0.8829890127604191,0.006958150744936637,9,0.929596886684591,0.9382230552843316,0.9343440300834025,0.9489070603502766,0.9433623582452814,0.9388866781295766,0.006750052503358843,0.8959335431817635,0.9160348766862426,0.8967468078676635,0.9206137855949578,0.9211480128319103,0.9100954052325075,0.011373804725757448,9,0.9071585479366087,0.9273596895312249,0.9112279568369052,0.9305728584279447,0.933138131240079,0.9218914367945524,0.010606835762163619
2293.9979575157167,20.70829605051093,2.6437939643859862,0.9398789811445593,300,50,8,log2,10,entropy,balanced,True,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 50, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 'log2', 'classifier__max_depth': 10, 'classifier__criterion': 'entropy', 'classifier__class_weight': 'balanced', 'classifier__bootstrap': True}",0.7343344097888418,0.7361785668629596,0.7266895809708112,0.7310897365393796,0.7273484163040631,0.7311281420932112,0.0037356544207388783,7,0.7600676840197491,0.7611125253714837,0.7535929939521809,0.7561183835090831,0.7591810987364733,0.758014537117794,0.002768366012809348,0.8966626679742233,0.8999656300056283,0.9025670303768853,0.894260161913509,0.8842321497963226,0.8955375280133137,0.006320303338410009,7,0.9447884478885159,0.9446162909768102,0.9439945169719991,0.9425080390550331,0.9427897876684226,0.9437394165121562,0.0009330098909146918,0.9350732227212709,0.9353952144869643,0.9296875985716524,0.9332360825831832,0.9320062672934968,0.9330796771313136,0.002098514024964412,7,0.942371447565132,0.9425502372613737,0.9396497022269583,0.9404006051498023,0.9421807009828601,0.9414305386372253,0.0011776178898938792
8418.89221019745,852.9973054741761,0.6288539409637451,0.09936592850406335,300,5,4,,15,entropy,,True,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_features': None, 'classifier__max_depth': 15, 'classifier__criterion': 'entropy', 'classifier__class_weight': None, 'classifier__bootstrap': True}",0.8227312330963382,0.8038219884810458,0.8236059032616752,0.8344639831137692,0.8201346184441414,0.8209515452793941,0.009868008581408181,4,0.904197168377225,0.8899359223554903,0.9059312758388604,0.9342047168353714,0.9097929553685795,0.9088124077551052,0.014364218675068091,0.8999820135223546,0.8995197294720029,0.9100994101007551,0.8857902356520674,0.8879339436035695,0.8966650664701499,0.008878370111903445,5,0.9905222443412214,0.9906137391192752,0.9897003613380744,0.9927901650182409,0.9916231337374141,0.9910499287108452,0.0010627352121247245,0.9595654961490342,0.958230875723273,0.957842750508607,0.9643190795736026,0.9589491238777343,0.9597814651664504,0.0023448804358094954,5,0.9802347191541453,0.9796336321565879,0.980238210543324,0.9842787638323902,0.9818553991620679,0.9812481449697031,0.0016856488007860448
6558.056458091736,102.34167816395716,0.7139191627502441,0.18937083059633025,200,5,8,log2,15,gini,,True,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 'log2', 'classifier__max_depth': 15, 'classifier__criterion': 'gini', 'classifier__class_weight': None, 'classifier__bootstrap': True}",0.8058129124523588,0.8172800436453258,0.8061440381670394,0.8090992070224277,0.8054627595044147,0.8087597921583132,0.00445211368042251,5,0.8618768820471905,0.870191507572355,0.8571976022679586,0.8633712168075751,0.8678987461869883,0.8641071909764134,0.004575000576425364,0.8992407875861609,0.9171863434735661,0.9173145960554774,0.8998178098152646,0.8959219958287671,0.9058963065518473,0.009365609414899743,2,0.9859567441210186,0.9875097570834492,0.9860692219006919,0.9863869249287605,0.9860371691845738,0.9863919634436987,0.0005777447423255337,0.9610664810412421,0.9627622118497507,0.9602348460334075,0.9617061367413999,0.959679141226753,0.9610897633785107,0.0010861197540463997,4,0.97467563774349,0.9758076649357551,0.9737432563197924,0.9742501274504426,0.9758492402770713,0.9748651853453103,0.000840188209013031
6426.647372674942,78.03530318480664,0.4885096549987793,0.18565478141661557,100,10,1,sqrt,20,entropy,,True,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 20, 'classifier__criterion': 'entropy', 'classifier__class_weight': None, 'classifier__bootstrap': True}",0.8852634835308424,0.8912465006923295,0.8941146125960712,0.885707139910763,0.8783890709014652,0.8869441615262943,0.005430837273282834,1,0.9633195955042657,0.9613809185348228,0.9573230580926573,0.961337656517587,0.9594091782604892,0.9605540813819644,0.0020345040026881,0.89672616170454,0.9101229134351666,0.9175582558806997,0.8909411784720869,0.8960833357165061,0.9022863690417999,0.009927223506907642,4,0.9976012292225842,0.9974872243058741,0.9972205266933987,0.9973527890073317,0.9973491389613056,0.9974021816380988,0.0001304636905052939,0.9759078813720238,0.9769501840204009,0.9763670805907908,0.9763983951775499,0.9739113457296434,0.9759069773780817,0.0010510959054255474,1,0.9911115501844239,0.991086786964833,0.9906290766311271,0.9904190271497705,0.9907463395763056,0.990798556101292,0.0002670334840821269
5937.1153424263,725.9445050976163,0.7273711681365966,0.2394469262464564,200,5,4,log2,20,gini,,True,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 20, 'classifier__criterion': 'gini', 'classifier__class_weight': None, 'classifier__bootstrap': True}",0.845667980778769,0.8550494972700836,0.8489307905435517,0.853212136248471,0.8473563319926853,0.850043347366712,0.003541311251954313,2,0.916561792451574,0.9196988847068374,0.9154489824050008,0.9215324407940709,0.9167956185523597,0.9180075437819687,0.002253474164985054,0.8976202137181761,0.9086239876051195,0.9179263340067358,0.8918327563757753,0.8978372859960382,0.9027681155403691,0.009321575810319584,3,0.9940506897768288,0.9950497025223365,0.9940964394662866,0.9942163751221955,0.9942671294859672,0.9943360672747229,0.00036529869959034823,0.969492815873361,0.971045121586048,0.9700029647027257,0.9710468072472983,0.9692825809058264,0.9701740580630519,0.0007494715712439814,2,0.9856307482193757,0.9858563040944284,0.9853763199634669,0.9854431589427305,0.9854947555932692,0.9855602573626541,0.00016996947775203616
6550.528358983994,1005.6778416326749,0.4615426540374756,0.2013310451477785,300,20,2,,10,gini,balanced,True,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 2, 'classifier__max_features': None, 'classifier__max_depth': 10, 'classifier__criterion': 'gini', 'classifier__class_weight': 'balanced', 'classifier__bootstrap': True}",0.7013614418954353,0.7021721147488365,0.7009451883825,0.6904134866127578,0.6609538220363843,0.6911692107351828,0.015710226254814004,10,0.7338128136672973,0.7469030395898888,0.7391277818156259,0.7216073436083332,0.6975142399037613,0.7277930437169814,0.017233541171075267,0.8740241004964595,0.8718878414380689,0.8892467580507752,0.862249311489822,0.8587141269756436,0.8712244276901538,0.010678417598386006,10,0.9379388034643178,0.9350785287085402,0.9364440822206248,0.9273644883213457,0.9229580200197312,0.931956784546912,0.005791936204592872,0.9137938481411678,0.9133195777963684,0.909492092360783,0.9104011594948113,0.8915506417060673,0.9077114638998396,0.008246497603514487,10,0.9208915823307742,0.925907615807206,0.9224920590404152,0.9168624955106268,0.9037855288563408,0.9179878563090726,0.0076735206986586575
3923.979311990738,82.2106610846513,0.17738256454467774,0.06175213881707152,100,20,8,log2,10,entropy,,True,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 'log2', 'classifier__max_depth': 10, 'classifier__criterion': 'entropy', 'classifier__class_weight': None, 'classifier__bootstrap': True}",0.732109376202127,0.732294612379697,0.7211103254710836,0.7301210349519694,0.7246286259618587,0.7280527949933472,0.0044418306809866255,8,0.7601358196949446,0.7602048891816343,0.7503395375347567,0.7570802972633499,0.7606689901383922,0.7576859067626155,0.0038879824055102416,0.8985441756163313,0.9038483596465217,0.9016682351894554,0.8938971784693901,0.8844277778403213,0.8964771453524041,0.00689054881031715,6,0.9471454399833241,0.9478805260560283,0.9479258916539862,0.9449478027807128,0.9459193329442923,0.9467637986836689,0.0011622524409072733,0.9334999323813935,0.9332700691322008,0.9271391583654466,0.9331375622791522,0.9307101577026489,0.9315513759721684,0.00242660576298569,8,0.9420362838553391,0.9418888209853251,0.9376679269772457,0.9407407265829639,0.9426003844624838,0.9409868285726717,0.0017660228368744251
