mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__splitter,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,param_classifier__criterion,param_classifier__class_weight,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_bal_acc,split1_test_bal_acc,split2_test_bal_acc,split3_test_bal_acc,split4_test_bal_acc,mean_test_bal_acc,std_test_bal_acc,rank_test_bal_acc,split0_train_bal_acc,split1_train_bal_acc,split2_train_bal_acc,split3_train_bal_acc,split4_train_bal_acc,mean_train_bal_acc,std_train_bal_acc,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
1831.2204460144044,7.5136446200411156,0.1792454242706299,0.14622314070559705,best,10,8,,,gini,balanced,"{'classifier__splitter': 'best', 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 8, 'classifier__max_features': None, 'classifier__max_depth': None, 'classifier__criterion': 'gini', 'classifier__class_weight': 'balanced'}",0.7525212150098871,0.7519142718091846,0.749015075559724,0.7483947142377101,0.7508767226115751,0.7505443998456162,0.0016034192711387118,11,0.871681620107738,0.8697338611737557,0.8640146398815383,0.8678651583912499,0.87318911379982,0.8692968786708203,0.003193095968309509,0.8534690853705195,0.8570440147914231,0.8645885423097344,0.8427572779406878,0.8499199146609626,0.8535557670146655,0.007262565739319833,26,0.9715663815153152,0.9685376255224835,0.9668470349400573,0.9638409614250124,0.9714758854809515,0.9684535777767639,0.0029219228084160502,0.9357081619759717,0.9331522559191824,0.9304791570640354,0.9329375989778603,0.9350955656354458,0.933474547914499,0.001842893532740078,14,0.9653671923584977,0.9650280168298215,0.9639747223900448,0.964536480955157,0.9667021201693647,0.965121706540577,0.0009192181366968321
1673.623899936676,1.8637722837772595,0.03977222442626953,0.002984797549272567,random,10,1,,,gini,,"{'classifier__splitter': 'random', 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': None, 'classifier__max_depth': None, 'classifier__criterion': 'gini', 'classifier__class_weight': None}",0.7684590684166405,0.767305105109484,0.7646885732216843,0.7579286107215819,0.7548061723310934,0.7626375059600968,0.005355136393079511,5,0.9257249801028926,0.9170742513048318,0.9201411160231958,0.9220613727736978,0.9209620054307193,0.9211927451270675,0.002807733028902771,0.8670621395341565,0.8675553054575508,0.8702448430145878,0.8488546657078156,0.8468534128037186,0.8601140733035659,0.010088601801551876,18,0.9898178653077035,0.990972385990073,0.9911686843557247,0.9911437834734566,0.9901051083449521,0.9906415654943819,0.0005667076254236755,0.9389393480037723,0.9403195086212296,0.9404629423170555,0.9378322502208695,0.9380662917849577,0.9391240681895769,0.0010994060112942614,5,0.9802091856720878,0.9794439189701073,0.9800813328390147,0.9787250759834873,0.9793692283274483,0.9795657483584291,0.0005366621838092901
1649.5012127876282,5.999708141693637,0.15746669769287108,0.05637723247179264,random,20,1,sqrt,5,entropy,balanced,"{'classifier__splitter': 'random', 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 5, 'classifier__criterion': 'entropy', 'classifier__class_weight': 'balanced'}",0.40616688141150553,0.37269142930645116,0.3718069211993983,0.4037009070395413,0.40121848881958966,0.39111692555529726,0.015487249735787148,95,0.3917300213541929,0.37326484445359914,0.37218440457200597,0.4025465076295746,0.4008964748944049,0.3881244505807555,0.013107352411569505,0.6608361154630675,0.6764465620601551,0.6834756849589307,0.6502697042227387,0.6355763017857141,0.6613208736981212,0.017348016778298544,99,0.6388219224672027,0.6660909979768797,0.6789629924783172,0.6564072448697537,0.6447942833400137,0.6570154882264334,0.014455389749219125,0.5634220253946425,0.5903878245874179,0.5818811120121195,0.6700222810751402,0.6241923822764923,0.6059811250691624,0.03759829295599162,98,0.5589307962154808,0.5909619650806535,0.581842397858579,0.6684743610452519,0.622769348939532,0.6045957738278994,0.0379463826379366
1659.6436309337616,1.4194782981007283,0.07286014556884765,0.022549044884031824,best,50,8,log2,15,gini,balanced,"{'classifier__splitter': 'best', 'classifier__min_samples_split': 50, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 'log2', 'classifier__max_depth': 15, 'classifier__criterion': 'gini', 'classifier__class_weight': 'balanced'}",0.6370826986582914,0.6231462672618558,0.6427716502710299,0.6429720537565723,0.6694832429540826,0.6430911825803663,0.01503701213305116,56,0.6936026629230171,0.6737057430249882,0.699697276352734,0.7009975341324316,0.7233713771003427,0.6982749187067028,0.015904353666342307,0.838662169966155,0.8363287688332628,0.8562774315501109,0.8297755747879672,0.8414725042860954,0.8405032898847182,0.008782518335834558,53,0.9263344646408036,0.922242502541482,0.9296792494760245,0.9296095230384445,0.9207661275913898,0.9257263734576288,0.003682804637359061,0.8782266250441094,0.8719667847999146,0.8841428985229581,0.8876385801682206,0.8988532078893574,0.884165619284912,0.009076017275524517,55,0.8990489658943469,0.8909082033715316,0.9080229245068889,0.9083315929754222,0.9176799833416167,0.9047983340179613,0.009108345131527567
1646.1227700710297,14.030461535147932,0.08644065856933594,0.03244332202120349,random,10,1,sqrt,10,gini,,"{'classifier__splitter': 'random', 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 10, 'classifier__criterion': 'gini', 'classifier__class_weight': None}",0.5269908706896869,0.4502002193156785,0.49465983466565283,0.5117751772184321,0.5043758383962847,0.497600388057147,0.025946308775648807,88,0.5331248296615846,0.4608343606667395,0.5096903836875878,0.523347236511392,0.5166718615889692,0.5087337344232546,0.02516648174531201,0.7912163628573537,0.7490101238369888,0.7761976089991832,0.778102279369901,0.7604814913794191,0.7710015732885692,0.014699336744399862,85,0.8108150359033793,0.775457134296839,0.8010466473183872,0.8048702776185662,0.7963286374622415,0.7977035465198827,0.012093326615598485,0.7824395981362288,0.7221938086080523,0.7380241479910946,0.7736522995152095,0.7779062691860001,0.7588432246873171,0.02414999319333925,88,0.7842438098998413,0.7273754337666166,0.7510431705558392,0.7797474697229769,0.7825798082477761,0.76499793843861,0.02239313641209465
1627.3858292102814,4.323487221090631,0.046094655990600586,0.006450028268686617,best,50,2,sqrt,25,entropy,,"{'classifier__splitter': 'best', 'classifier__min_samples_split': 50, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 25, 'classifier__criterion': 'entropy', 'classifier__class_weight': None}",0.7344867136370111,0.7097455685475631,0.7103638866995947,0.7137902918638772,0.7185985174380957,0.7173969956372284,0.009105156625735215,29,0.8272495573156837,0.8189484675143124,0.8095558573957854,0.81705992226824,0.8234810719045209,0.8192589752797085,0.006012624170390675,0.85512621589722,0.840966287966598,0.8627541910147407,0.8402700960496364,0.8501645843605212,0.8498562750577433,0.008545762289787045,31,0.9643435121575873,0.9594694538542118,0.9631043878080963,0.9599476124448498,0.9635295791089303,0.9620789090747351,0.001981724459960484,0.9266422233040014,0.9166328955252809,0.9171790120086553,0.9200986636935832,0.9186771548390413,0.9198459898741124,0.003607091749903984,32,0.951883471930037,0.9464282458564759,0.9466986420260876,0.9460068417363425,0.9476604831586444,0.9477355369415175,0.002143993745250964
1624.69473862648,6.210682440032207,0.04494771957397461,0.0056368582269168375,random,5,16,sqrt,,entropy,,"{'classifier__splitter': 'random', 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 16, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None, 'classifier__criterion': 'entropy', 'classifier__class_weight': None}",0.6332378612254728,0.6259297697362325,0.6283390069018644,0.6187744067669164,0.6233432512079323,0.6259248591676837,0.004839458682267069,61,0.6681121732461549,0.6709290977648551,0.6726792862484041,0.6706198243623789,0.668944717415463,0.6702570198074511,0.0015983238080184892,0.8581030864298897,0.8502473240427741,0.8527591959235681,0.8252419520095625,0.8353982846768723,0.8443499686165333,0.012164629863014415,43,0.9233242035623347,0.9263583098573992,0.9250986719499761,0.9276663986043744,0.9220809662794884,0.9249057100507144,0.002012412578430361,0.8756310165463632,0.872396718533548,0.8722486634967185,0.8681593220079306,0.869894475030549,0.8716660391230218,0.0025310035080344153,61,0.8890667239314732,0.8884149293515957,0.8899963391868007,0.8849969046988818,0.8841015520406549,0.8873152898418812,0.0023309986845862682
1620.8196792125702,4.015964262257339,0.04310774803161621,0.0033162875021867824,random,10,16,log2,20,entropy,balanced,"{'classifier__splitter': 'random', 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 16, 'classifier__max_features': 'log2', 'classifier__max_depth': 20, 'classifier__criterion': 'entropy', 'classifier__class_weight': 'balanced'}",0.5846246512431812,0.5925131230677948,0.557736525922889,0.5690852275779389,0.5861502641457159,0.5780219583915039,0.012735954530978703,75,0.6117277378192177,0.6190116615714497,0.5908400304285474,0.597069468553338,0.6184720575862126,0.6074241911917531,0.011463856282972976,0.8228416905026135,0.8354925817412344,0.8276989125548198,0.817755277257773,0.8184311994053605,0.8244439322923602,0.006574584288729409,74,0.8823726935225578,0.8911100260228686,0.884140257139325,0.8849550705804891,0.8922682258591378,0.8869692546248757,0.003960141967587259,0.844888149200473,0.8489945964725382,0.8171757528398947,0.8290267409148494,0.8465070404625458,0.8373184559780602,0.012268199750236347,75,0.8538813272992852,0.8588121105570401,0.8340358330547808,0.8394780891001806,0.8586712448007897,0.8489757209624154,0.010278404331152641
1627.1062443256378,5.082336332540441,0.04874439239501953,0.00871700796108916,best,10,4,log2,10,entropy,,"{'classifier__splitter': 'best', 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 10, 'classifier__criterion': 'entropy', 'classifier__class_weight': None}",0.552403648457106,0.5530015064334617,0.5436405692684021,0.5708006009019085,0.5674320747937566,0.5574556799709269,0.010137409297810214,82,0.5757494802603688,0.5798563298894269,0.5669096796706817,0.5965107610854153,0.5870418471828358,0.5812136196177458,0.010042634375152985,0.8171713126076092,0.7991180279796759,0.8306168702675418,0.8003818382417514,0.8205453210372686,0.8135666740267695,0.012124416625277787,78,0.85763353394229,0.8458987881228154,0.8637844207756407,0.8576164885438097,0.8651823350472462,0.8580231132863604,0.0068082816719863895,0.8148459731574199,0.8179130667975852,0.7983603745009219,0.8347655142780088,0.8210724095440985,0.8173914676556068,0.011699067858520689,82,0.8255541059062594,0.8306777876782653,0.8129801756041367,0.8442740237564355,0.8310875775145782,0.828914734091935,0.010089017409926971
1625.1022290706635,2.157547179886705,0.042871618270874025,0.006553572465460765,random,20,4,sqrt,30,entropy,,"{'classifier__splitter': 'random', 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30, 'classifier__criterion': 'entropy', 'classifier__class_weight': None}",0.6727094708256061,0.681197558361089,0.678957458482943,0.6735310088699238,0.6898142780793222,0.6792419549237769,0.006180090505114434,46,0.7681697889839036,0.7737700527836621,0.7648655220254172,0.7691072524706648,0.780189318654853,0.7712203869837001,0.005312218468358754,0.8401016452629276,0.8536774005898083,0.8551239081340818,0.8376519787580105,0.8416863129819724,0.8456482491453601,0.007275403481421586,42,0.9641781533881201,0.9642449604105152,0.9664174055582914,0.9639158274908548,0.9677551536432956,0.9653023000982154,0.001520784668036136,0.9013185185829075,0.903813796964233,0.9028380321667447,0.9023402028832279,0.9084653170170075,0.9037551735228242,0.0024887533392383963,47,0.9314018048975722,0.9335264606941263,0.9314029923962586,0.93239332272877,0.936707114355595,0.9330863390144642,0.0019725771855156394
