mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__activation,param_classifier__alpha,param_classifier__batch_size,param_classifier__beta_1,param_classifier__beta_2,param_classifier__hidden_layer_sizes,param_classifier__learning_rate_init,param_classifier__validation_fraction,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_bal_acc,split1_test_bal_acc,split2_test_bal_acc,mean_test_bal_acc,std_test_bal_acc,rank_test_bal_acc,split0_train_bal_acc,split1_train_bal_acc,split2_train_bal_acc,mean_train_bal_acc,std_train_bal_acc,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
134.25380889574686,32.338508311357494,0.11029140154520671,0.010592315926859013,relu,0.004241627993739923,88,0.9342176056907272,0.969542316263948,"(64,)",0.001762258681771659,0.15,"{'classifier__activation': 'relu', 'classifier__alpha': 0.004241627993739923, 'classifier__batch_size': 88, 'classifier__beta_1': 0.9342176056907272, 'classifier__beta_2': 0.969542316263948, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': 0.001762258681771659, 'classifier__validation_fraction': 0.15}",0.7934343139324915,0.7776857890167698,0.7948101298158092,0.7886434109216901,0.007768540218710805,81,0.8610176348937731,0.8576310537907809,0.8675569812422557,0.8620685566422699,0.004119816851437522,0.8854824294447509,0.8843928027803495,0.8840918489459367,0.884655693723679,0.0005973621274593056,66,0.9721762608055167,0.9791349573895978,0.9815862869935863,0.977632501729567,0.0039858230411303295,0.951153976412703,0.9440555344871654,0.9502221835621479,0.9484772314873388,0.00314966799838684,81,0.9665409691755592,0.9625671707724053,0.966618774895966,0.9652423049479769,0.001891872190100803
191.29900662104288,45.996820830741015,0.19135657946268717,0.00876477610103508,relu,0.0016436531848333894,111,0.9494472814587408,0.9865969100906553,"(128, 64)",0.003320734334033345,0.1,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0016436531848333894, 'classifier__batch_size': 111, 'classifier__beta_1': 0.9494472814587408, 'classifier__beta_2': 0.9865969100906553, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.003320734334033345, 'classifier__validation_fraction': 0.1}",0.8562812497209713,0.8514006200182083,0.8561487042775797,0.8546101913389198,0.0022701546380061543,13,0.9440500037257082,0.9328145010805053,0.9468624627760874,0.9412423225274337,0.006068970930533654,0.903000885393021,0.9092825762682082,0.8819486872143874,0.8980773829585388,0.011689483303904999,8,0.9933791666043712,0.9945150211887294,0.9919521450911717,0.9932821109614242,0.0010485381319497555,0.969421187524814,0.9665443044942602,0.9683391220624744,0.968101538027183,0.001186436856935121,16,0.9885137786032814,0.9845803189824719,0.9873469296771091,0.9868136757542875,0.001649504159192129
196.36708505948386,50.26093089174755,0.18300334612528482,0.02642276534573446,relu,0.0002463519313277143,110,0.9064152243049648,0.996778341471632,"(128, 64)",0.002399244505700378,0.15,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0002463519313277143, 'classifier__batch_size': 110, 'classifier__beta_1': 0.9064152243049648, 'classifier__beta_2': 0.996778341471632, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.002399244505700378, 'classifier__validation_fraction': 0.15}",0.8697072869876912,0.8426988451045766,0.87051836124283,0.8609748311116993,0.012927314976726466,7,0.967875209220618,0.923000397671961,0.9579053751626041,0.949593660685061,0.019239726714085102,0.8777774862965254,0.9043985301566575,0.8879969849501144,0.8900576671344324,0.010965242126809709,38,0.9939322247751633,0.9920015994850182,0.9950726784741313,0.9936688342447709,0.0012675205371033707,0.9730468009225538,0.9643507870124323,0.9728672401761963,0.9700882760370608,0.004057679611650621,6,0.9935381848577229,0.9821141082117594,0.9912814336994243,0.9889779089229688,0.004940111442738963
125.0606373945872,14.448610525886798,0.1292999585469564,0.02934782073290251,relu,0.00739387413928996,82,0.9091278745604295,0.97380771620013,"(64,)",0.0019269608977575334,0.1,"{'classifier__activation': 'relu', 'classifier__alpha': 0.00739387413928996, 'classifier__batch_size': 82, 'classifier__beta_1': 0.9091278745604295, 'classifier__beta_2': 0.97380771620013, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': 0.0019269608977575334, 'classifier__validation_fraction': 0.1}",0.7992483036787974,0.783815526859355,0.7561358638159905,0.779733231451381,0.017835722012850302,84,0.8662206180080572,0.8548951646992909,0.8162948989561503,0.8458035605544995,0.021371902195120227,0.8856300429569648,0.8933626490212113,0.8824940446541418,0.8871622455441059,0.004567448142234503,57,0.9730937490622582,0.975154468409511,0.9711795716510586,0.9731425963742759,0.0016231123610741193,0.9516175717486272,0.9479927673512436,0.9394831245196887,0.9463644878731866,0.0050859068632165124,84,0.965023991330468,0.9638289934320634,0.9536791686465205,0.9608440511363506,0.005089771495467093
137.03577065467834,16.460028441343464,0.24504303932189941,0.09429561182182404,relu,0.00723122300195544,91,0.9485245149007729,0.9652540772586441,"(128,)",0.005201764353580019,0.1,"{'classifier__activation': 'relu', 'classifier__alpha': 0.00723122300195544, 'classifier__batch_size': 91, 'classifier__beta_1': 0.9485245149007729, 'classifier__beta_2': 0.9652540772586441, 'classifier__hidden_layer_sizes': (128,), 'classifier__learning_rate_init': 0.005201764353580019, 'classifier__validation_fraction': 0.1}",0.7800770942622549,0.749574181499506,0.7515576616044967,0.7604029791220858,0.013935246756413387,92,0.8383377144126627,0.7975074828761409,0.8000292908761557,0.8119581627216531,0.018681549533541012,0.8907796228575252,0.9005705550153984,0.8904835737683783,0.893944583880434,0.004686827738590543,17,0.9742196695493466,0.9721561086965298,0.974145749855745,0.9735071760338738,0.0009558253825198648,0.9474101508888384,0.9374374521749239,0.9388077068913375,0.9412184366516999,0.0044137960527381795,91,0.9597536877506344,0.9493778857539376,0.950102220382943,0.9530779312958383,0.004729725738807541
133.11332472165427,15.387794530008073,0.1235349973042806,0.025462210124974443,relu,0.008983601465670288,70,0.9613006068568485,0.9588904790370857,"(64,)",0.0015296255511800503,0.1,"{'classifier__activation': 'relu', 'classifier__alpha': 0.008983601465670288, 'classifier__batch_size': 70, 'classifier__beta_1': 0.9613006068568485, 'classifier__beta_2': 0.9588904790370857, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': 0.0015296255511800503, 'classifier__validation_fraction': 0.1}",0.749127041214817,0.7705810453680122,0.7470625781233945,0.7555902215687412,0.010633566369428245,94,0.8026053457404609,0.8324006369722703,0.7996359712988452,0.8115473180038588,0.014795269066886716,0.8904832075067303,0.894167523416902,0.8879967904017455,0.8908825071084593,0.002534964380425783,33,0.968114068705421,0.971819335823826,0.9661463724023788,0.9686932589772086,0.0023519105033241146,0.9356321898793125,0.9397785728583339,0.9347024929982952,0.9367044185786472,0.0022066418640293304,93,0.9486079462185836,0.9525388698115269,0.9478665310260911,0.9496711156854004,0.0020502738707874873
134.05411251386008,15.787713597178849,0.1533661683400472,0.010982672321121328,relu,0.00016358890529014904,105,0.9166705601892668,0.9949698719693975,"(128,)",0.006397238610685558,0.1,"{'classifier__activation': 'relu', 'classifier__alpha': 0.00016358890529014904, 'classifier__batch_size': 105, 'classifier__beta_1': 0.9166705601892668, 'classifier__beta_2': 0.9949698719693975, 'classifier__hidden_layer_sizes': (128,), 'classifier__learning_rate_init': 0.006397238610685558, 'classifier__validation_fraction': 0.1}",0.8252055770640208,0.8246516304902889,0.8294360858660281,0.8264310978067794,0.0021368480103193324,45,0.9114447785165323,0.9198302146676063,0.9170806409509664,0.9161185447117016,0.0034902823898303966,0.8850705938848333,0.8933579181271318,0.883521679460506,0.8873167304908237,0.004318313329397943,55,0.9853648060490864,0.9920613434973726,0.986324491807428,0.9879168804512957,0.0029566512187398854,0.9595012045523972,0.9582812998740023,0.9585301081651825,0.9587708708638608,0.0005263185751985239,46,0.9781182130388666,0.9788345446956604,0.9788394402449088,0.9785973993264786,0.0003388417676705414
192.64553133646646,41.913826278330994,0.19286171595255533,0.02272921703661117,relu,0.0005584950986171753,108,0.956983623803462,0.9966187637681262,"(128, 64)",0.004344954228677304,0.1,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0005584950986171753, 'classifier__batch_size': 108, 'classifier__beta_1': 0.956983623803462, 'classifier__beta_2': 0.9966187637681262, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.004344954228677304, 'classifier__validation_fraction': 0.1}",0.8484168042913641,0.8439571924894977,0.8463046801079794,0.8462262256296137,0.001821473887582654,26,0.9319840960597299,0.9234781863376156,0.9389170851058785,0.9314597891677413,0.006313798227264224,0.8962368598012482,0.9031973360934067,0.8823034517773907,0.8939125492240153,0.00868678748434821,18,0.9898324951522038,0.9914681538008339,0.9929793283720457,0.991426659108361,0.0012850243021055182,0.9674386314032466,0.9647484000306448,0.9653981027182185,0.9658617113840365,0.0011461634426203611,26,0.98554265232047,0.9825997586844067,0.9854242985674179,0.9845222365240982,0.0013602555362367131
186.36068288485208,23.60685883942274,0.15454475084940592,0.011170344665452652,relu,0.005866957290345009,72,0.9714369465342465,0.9816836897577201,"(128,)",0.0022949462539175536,0.15,"{'classifier__activation': 'relu', 'classifier__alpha': 0.005866957290345009, 'classifier__batch_size': 72, 'classifier__beta_1': 0.9714369465342465, 'classifier__beta_2': 0.9816836897577201, 'classifier__hidden_layer_sizes': (128,), 'classifier__learning_rate_init': 0.0022949462539175536, 'classifier__validation_fraction': 0.15}",0.7933167840955938,0.801514473287758,0.8041588733914541,0.7996633769249354,0.004615744315795209,72,0.8514144737480673,0.8638851971588911,0.875529995586039,0.863609888830999,0.009847045052060929,0.9007834378979755,0.9009020165900777,0.8877301495742962,0.8964718680207833,0.006181517951376941,12,0.9814154401383759,0.9830733837534062,0.9814179304310224,0.9819689181076016,0.0007809758094680867,0.9524643188417884,0.9529967891698897,0.9538598883532897,0.9531069987883226,0.0005750438738938999,65,0.966402037745384,0.9672605064057185,0.9694328735355862,0.9676984725622294,0.0012755004671315918
158.2089650630951,19.534850007279484,0.16122992833455405,0.014951379279949072,relu,0.006310245369279795,112,0.9213183503077034,0.9882457502469492,"(128,)",0.0053945853368646945,0.15,"{'classifier__activation': 'relu', 'classifier__alpha': 0.006310245369279795, 'classifier__batch_size': 112, 'classifier__beta_1': 0.9213183503077034, 'classifier__beta_2': 0.9882457502469492, 'classifier__hidden_layer_sizes': (128,), 'classifier__learning_rate_init': 0.0053945853368646945, 'classifier__validation_fraction': 0.15}",0.8075445940710443,0.7986577945044891,0.7955637636617714,0.800588717412435,0.005078150698910112,69,0.8687890993333485,0.8639668147436638,0.8630067663189738,0.8652542267986622,0.002530074586752727,0.8860953960049086,0.8941859540936878,0.8823895677580254,0.8875569726188739,0.004925500806613066,54,0.9711348319957007,0.9770539645652846,0.9750739232299643,0.9744209065969832,0.002460197232782993,0.956158850228641,0.9530572064199088,0.9517153441604218,0.9536438002696572,0.0018608700121174877,62,0.9686877361218473,0.9661619484895281,0.9670133610424323,0.9672876818846025,0.0010492345572625731
