mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__reg_lambda,param_classifier__reg_alpha,param_classifier__n_estimators,param_classifier__min_child_weight,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__gamma,param_classifier__colsample_bytree,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_bal_acc,split1_test_bal_acc,split2_test_bal_acc,split3_test_bal_acc,split4_test_bal_acc,mean_test_bal_acc,std_test_bal_acc,rank_test_bal_acc,split0_train_bal_acc,split1_train_bal_acc,split2_train_bal_acc,split3_train_bal_acc,split4_train_bal_acc,mean_train_bal_acc,std_train_bal_acc,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
2373.587027263641,15.159636915106287,0.524949598312378,0.10137561823701983,0.8,0.5,1.0,200,7,6,0.3,0.1,0.9,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 0.5, 'classifier__reg_alpha': 1.0, 'classifier__n_estimators': 200, 'classifier__min_child_weight': 7, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.3, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 0.9}",0.9017353199180297,0.9030024127931935,0.915199516989267,0.8992621863066746,0.9026613077445103,0.9043721487503351,0.00556955364436735,14,0.9966134682774455,0.9962087323642701,0.9957070151686909,0.9955932437078218,0.9954203556422547,0.9959085630320967,0.00043940580467230695,0.9028860773224119,0.9203560396314285,0.9251422358905718,0.9009988650538402,0.9010884103020549,0.9100943256400613,0.010464560526919192,6,0.9993605754795475,0.9995473516290826,0.9995527652722268,0.9995769127789966,0.9995061636586111,0.9995087537636929,7.750609266355597e-05,0.9790586621387238,0.9799422503443453,0.9808019548231436,0.9800088942196803,0.9782848275811148,0.9796193178214017,0.0008660120620752923,14,0.9991615368083437,0.9990345564682988,0.9989359206844749,0.9990355041488325,0.9989068177350188,0.9990148671689937,8.970257984165329e-05
2223.495094490051,4.369201109100456,0.5782174587249755,0.03053283426834297,0.9,0.1,1.0,300,1,3,0.3,0.1,1.0,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 0.1, 'classifier__reg_alpha': 1.0, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 1, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.3, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 1.0}",0.8228420525283573,0.830019385617552,0.8285081256096852,0.8280424018336724,0.8235059248407545,0.8265835780860042,0.002867325802486663,21,0.8928572496300055,0.8893892101995091,0.8870435515988351,0.8977803690668775,0.8914636397019867,0.8917068040394428,0.0036162967418635907,0.9044925016293593,0.9114983642590907,0.9187651764061112,0.8988422112195922,0.8988024968812542,0.9064801500790814,0.007711544079097852,23,0.9803802602160958,0.9789850805886633,0.9790648673877858,0.9792128361311733,0.9787256005225947,0.9792737289692626,0.0005754137954263856,0.960119304171646,0.961041272179469,0.9604529310610695,0.9614375172077193,0.9602152384322976,0.9606532526104402,0.0005065009818710244,21,0.9757738767268956,0.974869933936558,0.9744788179783033,0.9760194743679492,0.9758568426997071,0.9753997891418826,0.0006102104027530862
3299.9542675971984,29.409512594203576,1.3731919765472411,0.04401715230437024,1.0,0.5,0.1,500,1,7,0.1,0.3,1.0,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 0.5, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 500, 'classifier__min_child_weight': 1, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 1.0}",0.9000350876840848,0.9126220833271065,0.9106361607734186,0.901013051338629,0.9016791138187052,0.9051970993883888,0.005314934065948699,13,0.997048068388996,0.9963164648076701,0.9959268272926414,0.9967726999427498,0.9956424687952949,0.9963413058454705,0.0005189213679759883,0.9007303097035096,0.9238848945339587,0.9207982841041481,0.8986406824469999,0.9007681809489247,0.9089644703475083,0.010992901018035642,10,0.9997323406409645,0.9998240681649619,0.9996476971461747,0.9997514923070913,0.9997516256446521,0.9997414447807689,5.639633098650464e-05,0.9789736910592061,0.9816494045532607,0.9806688345181341,0.9803297517878872,0.9781986273762571,0.9799640618589491,0.0012303175895834848,13,0.9993462226612073,0.9992756351686417,0.9991622789291043,0.9993037408757877,0.9989787985937737,0.999213335245703,0.00013215726397851043
2635.29158244133,23.001684571427674,0.8158233642578125,0.19529614869252263,0.8,0.0,0.0,300,5,6,0.3,0.1,1.0,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 0, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 5, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.3, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 1.0}",0.9040161818377023,0.9115151849439416,0.9176054991090605,0.9040900813829923,0.910941014013585,0.9096335922574562,0.005120290112408665,4,0.9994564830058197,0.9997683813732188,0.9998841275872872,0.9996064510787985,0.9996298665108183,0.9996690619111884,0.00014612582750787832,0.9014975535340943,0.9156940082783587,0.9212852238284117,0.8971612948312518,0.8983800818922099,0.9068036324728652,0.009806534795085814,20,0.9999758520767215,0.9999862014247028,0.9999931007123515,0.9999430142081189,0.9999862014247028,0.9999768739693196,1.780358239413698e-05,0.9800397548206569,0.9819846908805523,0.9824692357407271,0.9812877895020174,0.9806818590816642,0.9812926660051235,0.0008724803820305103,3,0.9999001374306195,0.9999429233213276,0.9999714538906819,0.9999286385874773,0.9999429170457089,0.999937214055163,2.317628482409113e-05
2861.6770757198333,30.556863509092647,1.31990647315979,0.23697447854102613,0.8,1.0,0.0,300,5,8,0.1,0.0,0.8,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 1.0, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 5, 'classifier__max_depth': 8, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.8}",0.9045697186652844,0.9112406548826714,0.9128076690654472,0.9055025553999659,0.9079726047399108,0.9084186405506559,0.003185719272754125,8,0.9952582200000322,0.9945886855457757,0.9945446527073397,0.9949018467735284,0.994532580242598,0.9947651970538549,0.0002813010748247034,0.9050232085248459,0.9233553943148898,0.9223303726210661,0.9049535906345622,0.9050969174607457,0.912151896711222,0.008735287840239426,3,0.99940745382575,0.999660134086836,0.999374736100308,0.9995217184778082,0.999490716257875,0.9994909517497155,0.00010004727950446842,0.9796964834740383,0.9810326905347317,0.9808871172129492,0.9810083022908233,0.9797395186984019,0.980472822442189,0.0006184282788717781,11,0.9989085387471626,0.9987674221104262,0.998654185964549,0.9988106610372274,0.9986835794164357,0.9987648774551602,9.121749357583482e-05
3060.300614500046,44.407194198773745,1.6359883308410645,0.1531551071498441,0.9,1.0,1.0,300,7,8,0.01,0.3,0.9,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 1.0, 'classifier__reg_alpha': 1.0, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 7, 'classifier__max_depth': 8, 'classifier__learning_rate': 0.01, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 0.9}",0.7850577475003585,0.7823265251793782,0.7839295701092039,0.7869545919076024,0.7805730202330462,0.7837682909859178,0.0021968006940472897,28,0.8336330441202584,0.8311764615753348,0.8305812364309368,0.8384889774934129,0.8398494779697764,0.8347458395179439,0.0037783832181774407,0.8990163053967158,0.910978175329545,0.9206490072413892,0.9015230919665248,0.9008161991003092,0.9065965558068967,0.008164346100405373,22,0.9713788322919298,0.9706337812391468,0.9716938374674744,0.972091234853465,0.9709937236558226,0.9713582819015677,0.0005114770396487263,0.9511345423500996,0.9497061695295669,0.9488699443170625,0.9510870627697051,0.9488847124435248,0.9499364862819919,0.0010055794720553078,26,0.9628307852240888,0.9631142661161451,0.9617640507377139,0.9642434214291798,0.9648705496819912,0.9633646146378239,0.0010908340623023518
1900.854480934143,7.519162958244115,0.225709867477417,0.046303368417125276,0.9,0.5,0.5,100,5,4,0.2,0.2,0.8,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 0.5, 'classifier__reg_alpha': 0.5, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 5, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.8}",0.7543627771716562,0.7526485775716696,0.7509369606321655,0.7636768386217159,0.7564011441186054,0.7556052596231625,0.0044240833293517174,30,0.7947446387609064,0.7901183179491248,0.7809619631922218,0.797573485142873,0.797907263632227,0.7922611337354706,0.006301278790178635,0.895390020152887,0.9109744038128905,0.9101538679056451,0.9033863458178809,0.8951463530150028,0.9030101981408614,0.006848492527578493,31,0.9556972143188652,0.9568919019845804,0.9516301416358708,0.9564502819188453,0.9567683314375657,0.9554875742591455,0.0019729681571828764,0.940720122441169,0.9378456289869682,0.9376697185231334,0.9420070792674596,0.9388840691995796,0.9394253236836618,0.0016859719421086648,30,0.9496813695489775,0.94788442343756,0.9456405114535403,0.9499372433451316,0.9497023286283951,0.948569175282721,0.0016394254925367537
2498.6421281814573,33.06790087455981,0.8587567329406738,0.15554532515172725,1.0,0.5,0.0,300,5,8,0.3,0.2,0.8,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 0.5, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 5, 'classifier__max_depth': 8, 'classifier__learning_rate': 0.3, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.8}",0.9066427446016607,0.9128290765773095,0.9107541879196581,0.9045076757540149,0.9115163388103381,0.9092500047325963,0.003146302020253331,6,0.9993987513953317,0.9994562941628153,0.9995137085873944,0.9995831348463836,0.9995142462029266,0.9994932270389704,6.202321741918719e-05,0.9045100775876935,0.915842909982221,0.9135124582887642,0.9012716005490635,0.9006996045295018,0.9071673301874487,0.0063115517890906525,18,0.9999724023733959,0.9999758524932301,0.9999793021370543,0.9999395645642947,0.9999793021370543,0.9999692847410058,1.5078729070621985e-05,0.9804445188369205,0.9822525558055367,0.9814335853265382,0.9811808285091966,0.9810872111623877,0.9812797399281159,0.0005855739412885114,4,0.9998858855735743,0.9999001374711576,0.9999143931986466,0.9999143618600308,0.9999143943791395,0.9999058344965096,1.1398723837975988e-05
3882.2241192340853,50.706736241795234,2.4795685768127442,0.5444076547817888,1.0,1.0,0.5,500,1,7,0.01,0.1,0.9,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 1.0, 'classifier__reg_alpha': 0.5, 'classifier__n_estimators': 500, 'classifier__min_child_weight': 1, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.01, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 0.9}",0.7864430594594255,0.7813587022921289,0.7774405702816591,0.7824599693001153,0.7800964043912122,0.7815597411449083,0.002959950951215646,29,0.8373409882505275,0.8309020535255824,0.8249245154881175,0.8365054995003826,0.8403310566194732,0.8340008226768166,0.005467791076025934,0.9002326102333591,0.9148815311644614,0.9203253038201635,0.9054105802994451,0.8966760810029373,0.9075052213040733,0.00886919540050453,17,0.9736741105212934,0.9729510149776563,0.9724460906050144,0.9730388403618789,0.9733404251333061,0.9730900963198298,0.0004099881110590161,0.9522562537273519,0.9486053473361645,0.9472285605282682,0.9499242612133989,0.949205820383667,0.94944404863777,0.001661785890021576,28,0.9641341251777861,0.9628287345432748,0.9609462541493038,0.9631243777480829,0.9650302666857452,0.9632127516608385,0.001374378411379099
3041.1188385486603,60.771448023742515,1.0880961418151855,0.23245722432318172,1.0,0.1,1.0,500,1,6,0.2,0.1,0.8,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 0.1, 'classifier__reg_alpha': 1.0, 'classifier__n_estimators': 500, 'classifier__min_child_weight': 1, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 0.8}",0.9058844893127604,0.9114363904299342,0.9159101117521884,0.910881609227929,0.9093168367887074,0.910685887502304,0.003250286297614247,1,0.9991213903783182,0.9992946794799211,0.9993750678841156,0.999467451532802,0.9993987516333697,0.9993314681817053,0.00011866386202089115,0.9007487755306969,0.9214777101966515,0.9210899209097068,0.903901407821313,0.9070663869832762,0.9108568402883288,0.008745711712818084,4,0.9998530802573576,0.9999724028494057,0.9999793021370543,0.9999326652766461,0.9999724028494057,0.9999419706739738,4.740035722310089e-05,0.9805244917730248,0.9819447104250143,0.9819308587492724,0.9820109173187437,0.9803946527520949,0.98136112620363,0.0007377563708013396,2,0.9998430722069007,0.9998858591690037,0.9999143960319624,0.9998858385579644,0.9998858872028245,0.9998830106337312,2.2823264964688074e-05
2979.952413606644,60.065019021779506,1.3002647399902343,0.043960956281608024,0.9,0.5,0.1,300,3,8,0.05,0.0,1.0,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 0.5, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 3, 'classifier__max_depth': 8, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0, 'classifier__colsample_bytree': 1.0}",0.8773239842345918,0.88319426840557,0.8808010008691376,0.8754962801684785,0.8829265564816546,0.8799484180318865,0.003060749420644497,19,0.9721438793986132,0.9699534884799732,0.9673585543729988,0.9728232229708789,0.9708550095168331,0.9706268309478594,0.0019137743455746711,0.9006807182062104,0.9182396848601613,0.9245895120170843,0.8987967024624488,0.9047438889638935,0.9094101013019597,0.010188188820516711,8,0.9969074498363695,0.9973682318258106,0.9966980936837565,0.9973564625436815,0.9963360201945253,0.9969332516168287,0.0003952127599057864,0.9737844881045622,0.9748875923595761,0.97453835422946,0.9743315672026541,0.9741252120933799,0.9743334427979263,0.00037250106872058143,19,0.9939048462780887,0.9936004762037055,0.9928229458899023,0.9934645104554279,0.9937055204764443,0.9934996598607138,0.0003676671973216422
2067.7940850734713,26.412429876573796,0.4458011627197266,0.11054858113235694,1.0,1.0,0.0,100,1,6,0.05,0.1,1.0,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 1.0, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 1, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 1.0}",0.7394335407864354,0.7384962075766148,0.7397778377297624,0.7423657030050572,0.73677609720551,0.7393698772606759,0.001824086092867947,34,0.7803276817859945,0.7714786350480701,0.7685513471700063,0.7750136668601251,0.7812172227092835,0.7753177107146959,0.004909555421176492,0.8870463015383884,0.9073920471059553,0.9176252551784507,0.9005314521920367,0.8826807279061549,0.8990551567841971,0.012875296253969031,34,0.9539857102377898,0.9536227322922702,0.9551061343215297,0.9552317480959938,0.9531497702452713,0.9542192190385709,0.0008204727090301236,0.9350937566768386,0.9316910580614955,0.9308338433693478,0.9347187391650744,0.9331268148245648,0.9330928424194642,0.0016562867089806995,34,0.944874214090984,0.9418624478723714,0.9404690774681117,0.9431712863436457,0.9457158152836095,0.9432185682117445,0.0019172064841647032
