mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__metric,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_bal_acc,split1_test_bal_acc,split2_test_bal_acc,split3_test_bal_acc,split4_test_bal_acc,mean_test_bal_acc,std_test_bal_acc,rank_test_bal_acc,split0_train_bal_acc,split1_train_bal_acc,split2_train_bal_acc,split3_train_bal_acc,split4_train_bal_acc,mean_train_bal_acc,std_train_bal_acc,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
1627.5710476875306,9.691247807469166,94.1540135383606,1.8716778453885854,euclidean,18,2,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 18, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.750548843723569,0.7470801492074612,0.7411057690998195,0.748467652455946,0.7409143901931915,0.7456233609359975,0.003925701172119283,4,0.8591289584035016,0.8641058206810067,0.8570457292805982,0.8618388324138315,0.8627920855268852,0.8609822852611646,0.0025572179013537712,0.9199601191604134,0.9155778239124974,0.9168624115369017,0.9026918001325359,0.8980942953899268,0.9106372900264551,0.008608526936314824,9,0.9905018902840915,0.9905167247327731,0.9900593945183666,0.9903486205660432,0.9905726936508822,0.9903998647504313,0.0001857316554486381,0.9326579698968415,0.9321130986426517,0.9311016460212372,0.9350699351645263,0.9326695691686735,0.932722443778786,0.0013050636212674157,4,0.9648370415746867,0.9647778499366546,0.9638143750213342,0.964116195973732,0.9651205647359608,0.9645332054484737,0.0004873955959572711
1628.1017252445222,9.617486649981105,813.5029123306274,5.8323806238309395,manhattan,10,2,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 10, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.7785135104924416,0.7768538350787779,0.7803897050715036,0.7854793110920124,0.7760327870675081,0.7794538297604486,0.003362439401752513,2,0.874890825712568,0.8799149725380015,0.874670903389841,0.877572801339934,0.8777744484123634,0.8769647902785417,0.001964283339416081,0.9196009614907277,0.9155820430428285,0.9290839907350387,0.9141046833440901,0.9033900363244033,0.9163523429874176,0.008322440825292245,7,0.9920457077749667,0.99193452834455,0.9916273243052801,0.9917457263148746,0.9919077058108767,0.9918521985101096,0.00014779027980136642,0.9448884150306749,0.9451531644958379,0.9460326702281613,0.9488349714407899,0.9462572875663755,0.9462333017523678,0.001398923177487827,2,0.9701176974175252,0.9696951952000396,0.9691024692613502,0.9689015683818714,0.9697375430891215,0.9695108946699815,0.0004453393325325319
1634.7561312675475,1.6896766874092488,817.2883507251739,3.7265012966799524,manhattan,31,2,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 31, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.7262914495587633,0.7235688439152231,0.7164622285702469,0.7262530481809828,0.720897093226499,0.722694532690343,0.0036996666564692703,8,0.7544544559622235,0.7592971517052817,0.7501852124050832,0.7576345795326402,0.7577869073632107,0.7558716613936879,0.003251282968251744,0.9233203717577114,0.9222035067524509,0.9201774738141314,0.9135751434375067,0.9095321067380221,0.9177617204999645,0.005323868953375667,5,0.9734436010157579,0.9735241854201266,0.9724410564209816,0.9728234813873252,0.9734221075898372,0.9731308863668057,0.0004260628060090482,0.9239290674432991,0.9220733789362174,0.9206972380676058,0.9252224001750071,0.9235044944897675,0.9230853158223793,0.001560877234612865,8,0.9310133655474907,0.9322927537352369,0.9290287614880255,0.9314144942156273,0.9323553972430193,0.9312209544458799,0.0012101218892592944
1633.3970575809478,4.38463500690935,812.5626909255982,5.249961705466201,manhattan,23,2,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.7404298121338743,0.7363681784973041,0.731516524025875,0.7401237280807927,0.732852826800794,0.736258213907728,0.0036451833445589926,7,0.7745199090429852,0.7797153700905838,0.769740680493972,0.7775177795038671,0.777895862484926,0.7758779203232669,0.003492768437109349,0.9238353460195935,0.9225614303784544,0.9220238911123257,0.9125194172774472,0.908912612854517,0.9179705395284676,0.006060736959536291,3,0.9784058436682113,0.9782710922340222,0.9776819771760031,0.9778269208755297,0.9781244912619311,0.9780620650431395,0.0002703822141644463,0.9296374044876482,0.9279893025515551,0.9275428661971121,0.9314713867014909,0.9290663801969129,0.9291414680269439,0.0013829768818239027,7,0.9384094227123095,0.9396380671068937,0.9365760067544918,0.938519715842778,0.9395425046141795,0.9385371434061305,0.0011032186923313997
1616.4736831188202,18.908115942941055,811.3076117992401,8.67809589350448,manhattan,40,1,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 40, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7229101484130549,0.7180390556657258,0.7144340204091112,0.7223166352976623,0.7151682910737611,0.718573630171863,0.0035166447387102763,9,0.8639721887893408,0.8671757618993017,0.8603340481976479,0.866112168365861,0.8660711868602491,0.8647330708224802,0.0024326753085283405,0.9249713099029183,0.9189030441350392,0.9236563115453278,0.9146031029278039,0.9071867880181236,0.9178641113058426,0.006477355095534832,4,0.991236677092426,0.9911547568473178,0.990751846317179,0.9910816032099212,0.9911522338133605,0.9910754234560409,0.00016907791538963403,0.9225298028231396,0.9202088627114702,0.9192688053879918,0.923478362970389,0.9216828625889345,0.9214337392963851,0.0015251993386999007,9,0.9676113186941939,0.9674803382210322,0.9665645479664009,0.9669727502889907,0.9673135114686001,0.9671884933278436,0.0003782689890824051
1592.3178425312042,9.755423254322872,792.3722186565399,5.787089170440263,minkowski,18,1,uniform,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 18, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.7559152165239776,0.7530839859688877,0.7522184754222477,0.7584698254976415,0.7466641087262127,0.7532703224277935,0.00397022568183059,3,0.796050448371694,0.8017832801723902,0.7928201872606448,0.7999149749858713,0.7996533136818119,0.7980444408944825,0.0032042197424797312,0.9226160619462036,0.9180168403712783,0.9245139434263434,0.9123902392625357,0.9043436368863486,0.916376144378542,0.007328313640636389,6,0.9823128072684394,0.9823848128369838,0.981881394228969,0.9820246053937082,0.9824376683526168,0.9822082576161435,0.00021693292718763272,0.9360256499054187,0.9354571270558273,0.9358296330579439,0.93850002446962,0.9355315303676501,0.936268792971292,0.0011342602597429893,3,0.9463306939558188,0.9470092017835657,0.9449528141909255,0.9464502029733488,0.9474128010334978,0.9464311427874315,0.0008359083457878258
1602.9432545185089,3.782344492550247,782.3175038814545,2.6722367000398797,manhattan,25,2,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 25, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.7438682330575536,0.7402265106702783,0.7348799555644683,0.7444149810274819,0.7346415666290536,0.7396062493897672,0.004210915744626663,6,0.8651728727265603,0.8700399229163104,0.8631278300062781,0.870066223865942,0.8692593735659205,0.8675332446162024,0.0028515951491628532,0.9241267121704189,0.9242714978155304,0.9229907524155845,0.9147617442319914,0.908876126803128,0.9190053666873306,0.006171765520411363,1,0.9912780735323322,0.9912807448433769,0.9908139399060157,0.9912195889628922,0.9912867699225071,0.9911758234334249,0.0001825638613812641,0.9313651690983014,0.9297476060488481,0.9292337515588748,0.9335312009506057,0.9304010763276922,0.9308557607968645,0.0015154626827477724,6,0.9676932133023083,0.9676818878801524,0.9666890635158959,0.967358498520504,0.96770219653554,0.9674249719508801,0.0003900750259364471
1600.9111000537873,2.920027200329855,781.1629638195038,3.738665740609642,minkowski,41,1,uniform,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 41, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.7121947396164041,0.7075981798336072,0.7040369734339571,0.7137994126174252,0.7063820884611027,0.7088022787924994,0.0036467916751327842,10,0.735518370247177,0.7400085595608328,0.7316928522527828,0.7394317442789979,0.7387917710765628,0.7370886594832706,0.0031143858423675853,0.9203559192606446,0.915941271557978,0.9216517495675178,0.9161897606530701,0.9042563241790754,0.9156790050436572,0.00613766237083028,8,0.9676429157331607,0.96792501403519,0.9675299032614673,0.9668825857469294,0.9680076505441548,0.9675976138641804,0.00039830218287475224,0.9174353244915265,0.9150561260806847,0.9138454481269958,0.9186343527229679,0.9171304425550484,0.9164203387954448,0.0017278564332431766,10,0.923252780986212,0.9250342823892679,0.9213863174669623,0.9245364397229409,0.9247563409037102,0.9237932322938187,0.0013494789673202609
1606.5342233181,11.273444404553459,783.9705143928528,4.033228453667109,minkowski,1,1,uniform,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 1, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.8423902410232772,0.8358944623565083,0.8465753777440426,0.8424825525081522,0.8335746088263379,0.8401834484916636,0.004755727828906389,1,0.91535914767533,0.9202243508899057,0.915710109507193,0.9202940277402453,0.9142929522141088,0.9171761176053567,0.002560323882248727,0.9113908673428505,0.9006861938643714,0.9233313160181119,0.8960046937997393,0.8861531678566024,0.9035132477763351,0.012810587108564362,10,0.9949280101561412,0.9948305803315021,0.9946303676521332,0.9947814128802369,0.9946744721508913,0.9947689686341809,0.00010713065274964523,0.9644820210917278,0.9647293574834608,0.9669160207040819,0.9667833564554369,0.9637569734061485,0.9653335458281711,0.0012792103910117792,1,0.9803191554371593,0.9799910143110866,0.97961814702283,0.979837771809345,0.9794708122878963,0.9798473801736636,0.0002958534080847773
1509.6196598529816,113.53447088640225,777.4213205814361,10.737995099510465,minkowski,24,1,distance,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 24, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7457245149807085,0.7430893408422202,0.7381201732650677,0.7458415780240492,0.736668095318909,0.7418887404861909,0.0038271860851330076,5,0.8653999893073141,0.8702711089794122,0.8633204223245701,0.8703272710214186,0.8693107343137136,0.8677259051892857,0.002848684392515552,0.9248844600908501,0.9239868950083772,0.9237504385086824,0.9140560512137258,0.9079144438731401,0.9189184577389551,0.006772910702962781,2,0.9912746238290067,0.9912979930624983,0.9908104902621917,0.9912195889628922,0.9912833202786828,0.9911772032790545,0.00018526561250189452,0.9318445833655169,0.9309639407299801,0.9305658535333765,0.9339611921762107,0.9312690970187137,0.9317209333647595,0.0011954457088933653,5,0.9676775117546432,0.9677383129196527,0.9666560782050215,0.9673465629676866,0.9676718763818722,0.9674180684457753,0.00040497604432653586
