mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__penalty,param_classifier__solver,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_bal_acc,split1_test_bal_acc,split2_test_bal_acc,split3_test_bal_acc,split4_test_bal_acc,mean_test_bal_acc,std_test_bal_acc,rank_test_bal_acc,split0_train_bal_acc,split1_train_bal_acc,split2_train_bal_acc,split3_train_bal_acc,split4_train_bal_acc,mean_train_bal_acc,std_train_bal_acc,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
1683.6552092075349,10.583650105290944,0.07242889404296875,0.017851747722862174,0.0053979568559964445,l2,lbfgs,"{'classifier__C': 0.0053979568559964445, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.4719747336324921,0.4713583237173461,0.4689718597264888,0.4689991563100956,0.46734513783248666,0.4697298422437819,0.0017021600286874913,9,0.471278044058517,0.4696500010506538,0.47012374757108866,0.47314340897866713,0.47692009443532973,0.4722230592188512,0.002639317142362894,0.7594578507525319,0.7663859015649004,0.7756698501645982,0.7624630877892946,0.7470936123796948,0.7622140605302039,0.009324689715914289,9,0.7676669202305724,0.7664554393140367,0.763933232235299,0.7690527704051477,0.7709817225093787,0.767618016938887,0.002379270865262743,0.7207564809716087,0.7169737659885809,0.713689455814954,0.7160208220543856,0.7209956658518559,0.717687238136277,0.0028154642275707562,9,0.7208926898147802,0.7147239607383254,0.71628695759877,0.7201156578868168,0.72585173734057,0.7195742006758524,0.0038928100543709136
1849.1140355587006,13.818429871219774,0.05834231376647949,0.020411473668093472,0.9355380606452179,l2,lbfgs,"{'classifier__C': 0.9355380606452179, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.4862434263834426,0.4881613022974117,0.48355248866885486,0.4835782564982255,0.4759461108997705,0.4834963169495411,0.004155097574867763,3,0.4909047016548954,0.4865331685076247,0.4866868189777119,0.4894868912602707,0.49297100228543317,0.48931651653718716,0.0024726083841356094,0.7722752319564525,0.77294299338991,0.78892081738787,0.7773432152646251,0.7566801442627346,0.7736324804523184,0.010365346277627675,3,0.7882173675381192,0.7859746914981762,0.7836705440750571,0.7854346165647527,0.792496252846684,0.7871586945045579,0.003038151376349129,0.7406857256384966,0.7438674621422516,0.7352402101723527,0.7345759919782913,0.7336630834237525,0.7376064946710288,0.0039753017040529606,3,0.7439966741120445,0.736755877114403,0.738202386541425,0.7410250159114558,0.7419971715806859,0.7403954250520028,0.0026071708223233195
1678.4337987422944,12.767526796693994,0.08811335563659668,0.026494590941737534,0.001608166928363465,l2,lbfgs,"{'classifier__C': 0.001608166928363465, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.4634956494267601,0.4581763466191903,0.45426986245541945,0.4585053225770827,0.45423599272083814,0.45773663475985815,0.003412432631111001,10,0.4572335208349017,0.4554328049533883,0.45843879357623435,0.4593735793109731,0.4650419544544552,0.45910413062599054,0.003248102245506608,0.7510643177912677,0.7473871713900995,0.7554694482364505,0.748172557439944,0.7298186098288821,0.7463824209373288,0.008752921499619938,10,0.7470969682215319,0.7483528977969053,0.7487173348492648,0.7493456137672032,0.7554611439876344,0.749794791724508,0.002926688636559852,0.7123106862706106,0.7044921471923299,0.7004525925373619,0.7062598946818074,0.7089019744804657,0.7064834590325152,0.004004808330057945,10,0.7082837416061553,0.7013175865298982,0.7054451041846664,0.7085056770492247,0.7150651322390835,0.7077234483218057,0.004495598967700749
1920.4931839942933,14.26945303102999,0.057094764709472653,0.015034131143543659,285.7080075040722,l2,lbfgs,"{'classifier__C': 285.7080075040722, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.48375931837483116,0.48499543092756037,0.48405365053508875,0.48525052281962927,0.47508908623696267,0.4826296017788144,0.0038112969904669446,5,0.4890133488154989,0.48597372670501643,0.48754441438018886,0.4903776437940606,0.4932835246120807,0.4892385316613691,0.002499569422986455,0.7695094863342531,0.7674336751350106,0.7892384258427804,0.7755506504703344,0.7542682249767233,0.7712000925518203,0.011384559817922255,7,0.7881062313331182,0.7882342896896526,0.7857927612510036,0.7883727906260876,0.7948881338209056,0.7890788413441535,0.003056270498703035,0.7384785118471227,0.741753892934187,0.7357836551507166,0.7370367650368849,0.7328893535219803,0.7371884356981783,0.0029321055976082146,5,0.7417208057487936,0.7356119450792546,0.7389073106138415,0.7413581293341628,0.7420306647555601,0.7399257711063225,0.002422838562582603
1712.022353553772,37.94165529508544,0.06324515342712403,0.01802753000531412,0.035700959600309494,l2,lbfgs,"{'classifier__C': 0.035700959600309494, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.4812334344792739,0.4817971805679389,0.4773064253073563,0.477247067711811,0.4742709628665594,0.4783710141865879,0.0027978238683482206,7,0.4814978489143125,0.479566793169119,0.4789541678667801,0.48198457821394636,0.4845193790548385,0.48130455344379924,0.001968706360493865,0.7715311970473475,0.7732973073247613,0.7878260312347718,0.7730368489208935,0.7584482901580263,0.7728279349371601,0.009313029165338434,5,0.7794435900180258,0.7802947520860692,0.7774910935592846,0.7801509596541696,0.7834359528539819,0.7801632696343062,0.0019176213574680048,0.7323626756049527,0.7325989093935765,0.7231454508287033,0.7264480842191825,0.7273144273396916,0.7283739094772214,0.0036312247156695347,7,0.7325757973877843,0.7259905411898233,0.7267247149933921,0.730067844252972,0.7327678834235339,0.7296253562495011,0.0028426035881890625
1880.1671127319337,13.305711193296617,0.045595979690551756,0.0046799726726942745,9.443515687962675,l2,lbfgs,"{'classifier__C': 9.443515687962675, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.48437664746863407,0.48622781267366183,0.48429162680102894,0.48458324927360563,0.4759785909445283,0.48309158543229175,0.0036262144622698986,4,0.4907838201676065,0.4860561284072018,0.48760824543085235,0.4904319833975837,0.4933924086241146,0.48965451720547176,0.002568549833538214,0.7698292766234834,0.7689158804794444,0.7895011616463743,0.7742417423802955,0.7568107952332511,0.7718597712725697,0.010546596816346085,6,0.7885835094116276,0.7886301046576354,0.7860925879041998,0.7878438033972136,0.7960628988418105,0.7894425808424973,0.003435266327157922,0.739055873324184,0.7425905608663158,0.7360163693787604,0.7360202171127567,0.7332813103658004,0.7373928662095635,0.0031769615336880745,4,0.74364049759067,0.7353945563673246,0.7390832831562196,0.7418677862253218,0.7418807115888529,0.7403733669856778,0.0028855637392742302
1712.6399544239043,7.075887957070943,0.05770416259765625,0.020184218819582444,0.07417652034871831,l2,lbfgs,"{'classifier__C': 0.07417652034871831, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.4844493406428866,0.4839336824025562,0.48038924247128884,0.4791120163023111,0.47563936604926227,0.480704729573661,0.0032478430917088166,6,0.48411115100091184,0.4816411216393514,0.48173400647740827,0.48413992709970843,0.48766660308406384,0.48385856186028875,0.002194307286696281,0.772861761144949,0.7723306097887545,0.789991312501166,0.7751839962407663,0.7601397997521289,0.774101495885553,0.009521134573293405,1,0.7814628778594146,0.7809545940701895,0.7795335690162389,0.7825749392263599,0.7862112564245355,0.7821474473193477,0.00225482539354741,0.7361639702602722,0.7359825612523816,0.7285018406169819,0.7293586037584057,0.7288326363112463,0.7317679224398574,0.003526370042940378,6,0.7359387735241745,0.7296636395002946,0.7313441820484229,0.7333377440835732,0.7362623840469279,0.7333093446406787,0.0025607879451920302
1820.482439136505,25.55590163744944,0.037712621688842776,0.010807192222862026,1.319496149042566,l2,lbfgs,"{'classifier__C': 1.319496149042566, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.48590265435005475,0.4882017180689668,0.48385591676462497,0.48453323799470266,0.4762597051410659,0.483750646463883,0.004029414588198789,2,0.4905907544112466,0.4871795712578061,0.48743384637464143,0.4902823006123258,0.49312533036947476,0.48972236060509894,0.002206849287070478,0.7704362981197593,0.7725345435490111,0.7895018702695262,0.777802087709612,0.7586984579125017,0.773794651512082,0.010035315010041403,2,0.7879909954987716,0.7867093195456786,0.7841410741072709,0.7864850943798146,0.7939259545765843,0.7878504876216239,0.003281991867362163,0.7407407593205162,0.7444547977208807,0.7351270404493574,0.7360515638771078,0.7339121952995629,0.7380572713334851,0.00394766316738963,2,0.7436776552486652,0.7372617226145528,0.7388265421252068,0.7420921212393874,0.7418172450647883,0.7407350572585201,0.00234000511071572
1766.239882993698,16.93048072308799,0.02520589828491211,0.0007181327401367838,1.9066091638188458,l2,lbfgs,"{'classifier__C': 1.9066091638188458, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.48579611757249097,0.4880827017818749,0.484068890283476,0.4837458136172389,0.47710018042125624,0.4837587407352674,0.0036682510496800283,1,0.49131672709141727,0.48644512248692867,0.48739551506888884,0.49063038359708333,0.4936326667277101,0.48988408299440567,0.0026336565226221693,0.7699720498079774,0.7726348692911372,0.7906703922247831,0.7731137644544612,0.759796276248643,0.7732374704054005,0.0099560420495661,4,0.788994259453694,0.7861166775406382,0.7851753954397707,0.7880332474797588,0.7941521792380133,0.788494351830375,0.003135038831639616,0.7407080141690121,0.7443972387617369,0.7352515574866365,0.7366896612109811,0.7343219934387548,0.7382736930134243,0.003759843652124038,1,0.7443439611793675,0.7367625238382413,0.7386660444728411,0.7420096911798676,0.7423456571909252,0.7408255755722485,0.002729973594837685
1332.0165642738343,375.3053055994324,0.038151216506958005,0.01655010043931903,0.012856617791467934,l2,lbfgs,"{'classifier__C': 0.012856617791467934, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.47769997319913526,0.47611457346561376,0.4735411295745253,0.4746383040736573,0.47027466651879835,0.474453729366346,0.002515073542875363,8,0.4758560620703218,0.4739752884936236,0.4754121345265013,0.47757016092516363,0.4807438675571934,0.4767115027145607,0.0023196665619675295,0.7691373252112447,0.7703648773312024,0.7844498757403823,0.7701505412532506,0.7519882446391707,0.76921817283505,0.010305978628335046,8,0.7742263197473787,0.772836977073205,0.7741489709637801,0.7765213588615062,0.7790367347911056,0.7753540722873951,0.002190179187707075,0.7260475292485022,0.724086052098539,0.7183238604237489,0.7216527954584626,0.7224710694555391,0.7225162613369585,0.002579067162553009,8,0.7253522673518563,0.7194305240752671,0.7209432854955498,0.7241033042117677,0.7283806441203552,0.7236420050509592,0.0031815767641534157
