Model;Dataset;Sampling;"Avg
Accuracy ";"Avg 
F1 Score";F1 Score Class 0;F1 Score Class 1;F1 Score Class 2;F1 Score Class 3;F1 Score Class 4
XGB;MIT;SMOTE;0.9823;0.9096;0.9908;0.8221;0.9533;0.7988;0.9831
CNN8;MIT;SMOTE;0.9851;0.9236;0.9924;0.8606;0.9600;0.8171;0.9876
XGB;PTB;SMOTE;0.9739;0.9730;0.9591;0.9843;-;-;-
CNN8 + transfer6;PTB;SMOTE;0.9842;0.9805;0.9721;0.9890;-;-;-
