model,sampling_method,remove_outliers,best_cv_score,best_params,train_f1_macro,test_f1_macro,test_accuracy,train_test_diff,roc_auc,cv_mean_train_f1_macro,cv_std_train_f1_macro,cv_mean_val_f1_macro,cv_std_val_f1_macro,cv_diff_train_val_f1_macro,cv_mean_val_bal_acc,cv_std_val_bal_acc,mean_fit_time,std_fit_time,test_f1_class_0.0,test_f1_class_1.0,test_f1_class_2.0,test_f1_class_3.0,test_f1_class_4.0,train_f1_class_0.0,train_f1_class_1.0,train_f1_class_2.0,train_f1_class_3.0,train_f1_class_4.0
LogisticRegression,No_Sampling,False,0.66,"{""C"": 157.41890047456639, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",0.6686,0.6657,0.9149,0.0029,0.9162,0.6652,0.0029,0.66,0.0057,0.005,0.591,0.0068,46.3253,3.5249,0.9536,0.562,0.4384,0.4569,0.9177,0.9544,0.6101,0.4586,0.4004,0.9196
KNN,No_Sampling,False,0.888,"{""metric"": ""manhattan"", ""n_neighbors"": 4, ""p"": 1, ""weights"": ""distance""}",1.0,0.8873,0.9782,0.1127,0.9531,1.0,0.0,0.888,0.01,0.112,0.8532,0.0133,0.0764,0.0027,0.9886,0.778,0.9374,0.7525,0.9798,1.0,1.0,1.0,1.0,1.0
RandomForest,No_Sampling,False,0.8851,"{""n_estimators"": 200, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": null, ""max_depth"": 20, ""criterion"": ""entropy"", ""class_weight"": ""balanced"", ""bootstrap"": true}",0.9934,0.8784,0.9761,0.115,0.9917,0.9951,0.0012,0.8851,0.0076,0.110,0.8383,0.0096,2268.5862,400.8861,0.987,0.7692,0.936,0.7291,0.9705,0.9997,0.9991,1.0,0.9683,1.0
SVM,No_Sampling,False,0.9089,"{""kernel"": ""rbf"", ""gamma"": 0.5, ""C"": 10}",0.9765,0.9066,0.9825,0.0699,0.9855,0.9772,0.0022,0.9089,0.0053,0.068,0.8761,0.0109,6499.1757,61.2696,0.991,0.8242,0.9466,0.7855,0.9859,0.9984,0.9655,0.9961,0.9236,0.9991
DecisionTree,No_Sampling,False,0.8269,"{""splitter"": ""random"", ""min_samples_split"": 5, ""min_samples_leaf"": 8, ""max_features"": null, ""max_depth"": 30, ""criterion"": ""entropy"", ""class_weight"": null}",0.8864,0.8303,0.9607,0.0561,0.9361,0.8785,0.0027,0.8269,0.007,0.052,0.7895,0.0128,2.2661,0.2073,0.9788,0.6978,0.8713,0.6601,0.9435,0.9862,0.8014,0.916,0.7651,0.9634
XGBoost,No_Sampling,False,0.9058,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 0.5, ""n_estimators"": 200, ""min_child_weight"": 7, ""max_depth"": 8, ""learning_rate"": 0.3, ""gamma"": 0, ""colsample_bytree"": 0.8}",1.0,0.9098,0.983,0.0902,0.9926,1.0,0.0,0.9058,0.0072,0.094,0.8617,0.0088,200.9408,4.1806,0.991,0.815,0.9545,0.804,0.9846,1.0,1.0,1.0,1.0,1.0
LDA,No_Sampling,False,0.6337,"{""tol"": 0.01, ""solver"": ""eigen"", ""shrinkage"": 0.0}",0.6374,0.6309,0.8923,0.0065,0.8896,0.6377,0.0019,0.6337,0.0107,0.004,0.6644,0.0173,1.4825,0.12,0.9412,0.536,0.53,0.2401,0.9071,0.9417,0.5693,0.5229,0.2491,0.904
ANN,No_Sampling,False,0.8912,"{""activation"": ""relu"", ""alpha"": 0.004505231603346793, ""batch_size"": 117, ""beta_1"": 0.9078793797625003, ""beta_2"": 0.9638572554028545, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0022135215043969946, ""validation_fraction"": 0.1}",0.9015,0.88,0.9769,0.0215,0.985,0.9338,0.0073,0.8912,0.0084,0.043,0.8593,0.014,52.1334,4.8236,0.988,0.7532,0.9347,0.7491,0.9748,0.9911,0.8155,0.9555,0.7608,0.9845
